Date,AAPL,AMZN,BRK.B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2021-02-02,83305400,141972000,,66332000,11443300,17320800,25916300,220440000,73038600,11305100
2021-02-03,89880900,141776000,,97882000,8601900,14223400,27158100,245408000,55030500,13458600
2021-02-04,84183100,73414000,,48596000,7758100,16060000,25296100,201340000,47438100,14534800
2021-02-05,75693800,72416000,,29866000,9495300,12454400,18054800,169152000,55699800,10284000
2021-02-08,71297200,65148000,,28828000,6035300,13755200,22211900,434624000,60485100,8637100
2021-02-09,76774200,44070000,,21892000,5544200,14613400,23565000,287560000,45473100,7619400
2021-02-10,73046600,63032000,,25102000,5921300,14687200,22186700,485352000,108648300,8467600
2021-02-11,64280000,46028000,,20480000,4871300,12828600,15751100,450828000,64868400,8411100
2021-02-12,60145100,46706000,,18990000,4413100,9097600,16561100,374756000,71304900,6911000
2021-02-16,80576300,51494000,,31004000,5656100,15417200,26728500,321960000,59406900,9652700
2021-02-17,97918500,65950000,,20294000,6676700,12763200,21653500,274756000,77989500,8373200
2021-02-18,96856700,60548000,,22546000,5189100,15249100,16925600,233868000,53871300,7328600
2021-02-19,87668800,86104000,,37938000,8190900,25622600,25262600,271724000,56874900,15011500
2021-02-22,103916400,70314000,,29466000,6447100,17434900,36446900,325884000,111809100,8337700
2021-02-23,158273000,93544000,,34658000,7042800,21924600,30228700,391780000,199820700,10571700
2021-02-24,111039900,60226000,,22608000,10286100,15736100,26339700,448320000,110301000,12039000
2021-02-25,148199500,90676000,,41548000,9719700,19053100,39542200,824436000,117071700,11404300
2021-02-26,164560400,85518000,,40042000,14417500,26619500,37819200,500932000,123267600,11730000
2021-03-01,116307900,54582000,,26060000,10551400,22157300,25324000,353184000,81408600,6982000
2021-03-02,102260900,51916000,,25564000,7610900,15191700,22812500,264116000,71196600,6155200
2021-03-03,112966300,79774000,,33892000,8499600,15513500,34029500,377592000,90624000,6484600
2021-03-04,178155000,109632000,,49216000,11033200,31626500,44727800,573344000,197758500,10658900
2021-03-05,153766600,107772000,,53100000,8331600,26820100,41872800,542840000,268189500,7582000
2021-03-08,154376600,83700000,,36868000,6546700,18391800,35267400,543112000,155361000,14750400
2021-03-09,129525800,80600000,,33920000,7461300,22039700,33080500,521824000,202569900,9228600
2021-03-10,111943300,60250000,,27100000,6635600,14210300,29746800,384376000,181817100,7822900
2021-03-11,103026500,55528000,,27702000,6305600,21834000,29907600,299916000,108761700,10053400
2021-03-12,88105100,48438000,,33818000,5474800,20600200,22653700,243964000,100751400,8172400
2021-03-15,92403800,58272000,,26168000,5524100,16844800,26034900,221988000,88006800,9306100
2021-03-16,115227900,50776000,,31900000,6369100,22437700,28092200,272128000,96587100,8949300
2021-03-17,111932600,62372000,,26382000,6001400,21315000,29562100,243864000,121117500,8675600
2021-03-18,121229700,72992000,,31700000,4801800,18728300,34833000,293896000,99674400,9321800
2021-03-19,185549500,92508000,,46072000,14891500,38930500,46430700,299208000,128682000,32209700
2021-03-22,111912300,58044000,,33536000,7544100,28273100,30127000,297804000,118536600,11371600
2021-03-23,95467100,76346000,,28510000,7178300,23000900,31638400,222048000,91475700,8820700
2021-03-24,88530500,59180000,,25218000,6370100,18675000,25620100,245840000,101385600,10101600
2021-03-25,98844700,71270000,,35616000,6269800,24505600,34061900,295144000,117674700,8390800
